clock: 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 131 
     data set   exec time     spread        Eff. bw       DRAM read      DRAM write         L2 read       L2 store
     22160 kB      1222ms      21.4%    9667.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     25920 kB      1542ms      10.6%    6926.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     30336 kB      1362ms      19.0%    8222.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     35488 kB      1354ms      24.1%    8499.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     41520 kB      1580ms      11.5%    6658.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     48592 kB      1678ms      16.9%    6611.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     56848 kB      1884ms       8.4%    5549.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     66512 kB      1597ms      21.6%    7085.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     77824 kB      1992ms      10.0%    5359.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     91056 kB      1755ms      12.7%    6100.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    106528 kB      1741ms      24.1%    6682.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    124640 kB      1872ms      10.5%    5503.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    145824 kB      1906ms      10.8%    5546.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    170624 kB      1925ms      12.4%    5529.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    199632 kB      1798ms      16.8%    6159.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    233568 kB      1863ms      17.2%    5847.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    273280 kB      2088ms      13.0%    5329.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    319744 kB       550ms       9.8%   19467.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    374096 kB      1255ms      48.7%   13087.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    437696 kB       550ms      10.9%   19968.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    512096 kB       517ms       8.1%   20943.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    599152 kB       524ms       7.9%   20757.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    701024 kB       516ms       9.0%   21219.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    820192 kB      1339ms      79.8%   22818.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    959616 kB       897ms      56.6%   19653.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
   1122768 kB       581ms       6.3%   18513.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
