clock: 500 500 500 500 500 500 500 500 500 500 500 500 500 500 500 2390 2555 2555 2555 2555 2555 2555 2555 2555 2555 
     data set   exec time     spread        Eff. bw       DRAM read      DRAM write         L2 read       L2 store
     18928 kB       699ms      31.2%    2523.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     22160 kB       266ms     111.6%    5749.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     25920 kB       260ms     116.6%    5696.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     30336 kB       212ms      33.0%    8365.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     35488 kB       669ms      26.8%    2240.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     41520 kB       272ms     124.6%    5429.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     48592 kB       566ms      31.1%    2800.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     56848 kB       786ms      50.8%    2992.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     66512 kB       566ms      50.9%    2762.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     77824 kB       814ms      47.1%    2628.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     91056 kB       413ms     114.2%    5651.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    106528 kB       245ms     126.9%    5960.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    124640 kB       242ms     119.9%    5874.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    145824 kB       389ms      50.9%    5473.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    170624 kB       353ms      38.4%    5599.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    199632 kB       344ms      42.6%    5623.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    233568 kB       374ms      46.4%    5542.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    273280 kB       346ms      36.8%    5626.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    319744 kB       448ms      60.0%    5726.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    374096 kB       442ms      60.5%    5553.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    437696 kB       402ms      55.4%    5910.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    512096 kB       381ms      47.8%    5571.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    599152 kB       343ms      82.6%    6339.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    701024 kB       374ms      41.5%    5502.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    820192 kB       388ms     280.5%    5548.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    959616 kB       369ms      40.0%    5588.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
   1122768 kB       354ms      42.1%    5808.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
