     data set   exec time     spread        Eff. bw       DRAM read      DRAM write         L2 read       L2 store
      6480 kB       145ms      35.5%   10658.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
      7584 kB       146ms      37.5%   10889.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
      8872 kB       146ms      36.5%   10733.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     10380 kB       147ms      36.3%   10640.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     12148 kB       147ms      35.2%   10466.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     14212 kB       148ms      36.5%   10624.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     16628 kB       148ms      33.2%   10111.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     19456 kB       149ms      33.9%   10207.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     22764 kB       149ms      31.0%    9780.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     26632 kB       150ms      32.5%    9880.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     31160 kB       142ms      11.5%    7784.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     36456 kB       168ms      12.2%    7116.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     42656 kB       187ms      11.5%    6331.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     49908 kB       170ms      12.0%    6989.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     58392 kB       188ms      11.0%    6237.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     68320 kB       171ms      11.8%    6999.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     79936 kB       183ms      11.7%    6463.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     93524 kB       170ms      12.4%    7060.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    109424 kB       171ms      11.9%    7041.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    128024 kB       194ms      11.6%    6248.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    149788 kB       185ms      11.1%    6517.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    175256 kB       193ms      11.4%    6250.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    205048 kB       176ms      12.2%    7076.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    239904 kB       195ms      12.0%    6289.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    280692 kB       175ms      11.6%    6983.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
