     data set   exec time     spread        Eff. bw       DRAM read      DRAM write         L2 read       L2 store
      6480 kB       214ms      22.8%    6706.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
      7584 kB       223ms      20.7%    6630.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
      8872 kB       219ms      25.6%    7070.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     10380 kB       218ms      21.5%    6632.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     12148 kB       227ms      21.5%    6569.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     14212 kB       225ms      30.9%    7211.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     16628 kB       225ms      21.3%    6108.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     19456 kB       239ms      21.3%    6002.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     22764 kB       234ms      30.9%    6532.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     26632 kB       238ms      29.1%    5999.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     31160 kB       246ms      30.5%    5934.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     36456 kB       257ms      33.9%    5865.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     42656 kB       269ms      36.1%    5752.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     49908 kB       305ms      27.9%    4695.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     58392 kB       345ms      19.6%    4018.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     68320 kB       459ms      12.8%    2914.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     79936 kB       459ms      11.4%    2909.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     93524 kB       462ms      10.7%    2864.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    109424 kB       465ms      17.9%    3149.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    128024 kB       470ms      11.5%    2873.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    149788 kB       482ms      15.1%    3003.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    175256 kB       462ms      10.6%    2903.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    205048 kB       479ms       9.6%    2865.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    239904 kB       469ms      17.4%    3130.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    280692 kB       479ms      11.9%    2903.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
