clock: 1155 1155 1155 1155 1155 1155 1155 1155 1155 1155 1155 1155 1155 1155 1155 1155 1155 1155 1155 1410 1410 1410 1410 1410 
     data set   exec time     spread        Eff. bw       DRAM read      DRAM write         L2 read       L2 store
      4732 kB       203ms      24.5%    5456.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
      5540 kB       208ms      26.6%    5469.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
      6480 kB       207ms      25.9%    5460.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
      7584 kB       209ms      26.7%    5463.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
      8872 kB       209ms      26.8%    5456.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     10380 kB       202ms      23.3%    5442.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     12148 kB       205ms      25.4%    5474.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     14212 kB       201ms      22.7%    5440.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     16628 kB       202ms      22.7%    5421.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     19456 kB       201ms      22.4%    5422.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     22764 kB       204ms      14.6%    4895.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     26632 kB       208ms      11.6%    4639.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     31160 kB       205ms      11.5%    4695.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     36456 kB       204ms      14.2%    4875.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     42656 kB       210ms      14.3%    4641.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     49908 kB       209ms      15.6%    4812.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
