clock: 1740 1740 1740 1740 1740 1740 1740 1740 1740 1740 1740 1740 1740 1740 1740 1740 1740 1740 1740 1740 1740 1740 1740 
     data set   exec time     spread        Eff. bw       DRAM read      DRAM write         L2 read       L2 store
      4732 kB       330ms      20.1%    2497.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
      5540 kB       331ms      20.1%    2496.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
      6480 kB       331ms      20.3%    2499.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
      7584 kB       333ms      20.0%    2476.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
      8872 kB       335ms      19.9%    2461.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     10380 kB       339ms      19.8%    2429.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     12148 kB       338ms      19.6%    2432.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     14212 kB       344ms      21.2%    2423.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     16628 kB       343ms      21.0%    2426.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     19456 kB       345ms      21.0%    2419.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     22764 kB       347ms      21.2%    2412.1 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     26632 kB       353ms      22.0%    2395.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     31160 kB       351ms      21.4%    2393.4 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     36456 kB       352ms      20.6%    2370.7 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     42656 kB       359ms      20.0%    2312.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     49908 kB       355ms      18.4%    2284.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     58392 kB       360ms      20.9%    2329.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     68320 kB       358ms      21.5%    2366.3 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     79936 kB       359ms      21.4%    2352.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
     93524 kB       361ms      20.5%    2334.5 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    109424 kB       364ms      20.9%    2332.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    128024 kB       372ms      22.1%    2319.6 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    149788 kB       372ms      21.1%    2316.0 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    175256 kB       373ms      21.2%    2299.9 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    205048 kB       375ms      21.3%    2325.8 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    239904 kB       378ms      21.0%    2288.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
    280692 kB       374ms      21.3%    2313.2 GB/s         0 GB/s          0 GB/s          0 GB/s          0 GB/s 
